	
1	0,7
1,05	0,736
1,1	0,772
1,149	0,807
1,199	0,843
1,248	0,878
1,298	0,913
1,347	0,948
1,396	0,983
1,444	1,018
1,493	1,052
1,542	1,086
1,59	1,12
1,638	1,154
1,687	1,188
1,735	1,222
1,782	1,256
1,83	1,289
1,878	1,322
1,925	1,355
1,972	1,388
2,019	1,421
2,066	1,453
2,113	1,486
2,16	1,518
2,207	1,55
2,253	1,582
2,299	1,614
2,345	1,645
2,391	1,677
2,437	1,708
2,483	1,739
2,529	1,77
2,574	1,801
2,619	1,832
2,664	1,862
2,709	1,892
2,754	1,922
2,799	1,952
2,843	1,982
2,888	2,012
2,932	2,042
2,976	2,071
3,02	2,1
3,064	2,129
3,107	2,158
3,151	2,187
3,194	2,215
3,237	2,244
3,28	2,272
3,323	2,3
3,366	2,328
3,408	2,356
3,451	2,383
3,493	2,411
3,535	2,438
3,577	2,465
3,619	2,492
3,66	2,519
3,702	2,546
3,743	2,572
3,784	2,598
3,825	2,624
3,866	2,65
3,907	2,676
3,947	2,702
3,988	2,728
4,028	2,753
4,068	2,778
4,108	2,803
4,148	2,828
4,187	2,853
4,227	2,877
4,266	2,902
4,305	2,926
4,344	2,95
4,383	2,974
4,421	2,998
4,46	3,021
4,498	3,045
4,536	3,068
4,574	3,091
4,612	3,114
4,65	3,137
4,687	3,16
4,724	3,182
4,761	3,204
4,798	3,226
4,835	3,248
4,872	3,27
4,908	3,292
4,945	3,314
4,981	3,335
5,017	3,356
5,053	3,377
5,088	3,398
5,124	3,419
5,159	3,439
5,194	3,46
5,229	3,48
5,264	3,5
5,299	3,52
5,333	3,54
5,367	3,559
5,402	3,579
5,435	3,598
5,469	3,617
5,503	3,636
5,536	3,655
5,57	3,674
5,603	3,692
5,636	3,71
5,668	3,728
5,701	3,746
5,733	3,764
5,766	3,782
5,798	3,8
5,829	3,817
5,861	3,834
5,893	3,851
5,924	3,868
5,955	3,885
5,986	3,901
6,017	3,918
6,048	3,934
6,078	3,95
6,108	3,966
6,139	3,982
6,168	3,997
6,198	4,013
6,228	4,028
6,257	4,043
6,286	4,058
6,315	4,073
6,344	4,088
6,373	4,102
6,401	4,116
6,43	4,13
6,458	4,144
6,486	4,158
6,514	4,172
6,541	4,186
6,569	4,199
6,596	4,212
6,623	4,225
6,65	4,238
6,676	4,251
6,703	4,263
6,729	4,276
6,755	4,288
6,781	4,3
6,807	4,312
6,832	4,324
6,858	4,335
6,883	4,347
6,908	4,358
6,933	4,369
6,957	4,38
6,982	4,391
7,006	4,402
7,03	4,412
7,054	4,422
7,077	4,432
7,101	4,442
7,124	4,452
7,147	4,462
7,17	4,472
7,193	4,481
7,215	4,49
7,238	4,499
7,26	4,508
7,282	4,517
7,303	4,525
7,325	4,534
7,346	4,542
7,367	4,55
7,388	4,558
7,409	4,566
7,43	4,573
7,45	4,581
7,47	4,588
7,49	4,595
7,51	4,602
7,53	4,609
7,549	4,616
7,568	4,622
7,587	4,628
7,606	4,634
7,625	4,64
7,643	4,646
7,661	4,652
7,679	4,658
7,697	4,663
7,714	4,668
7,732	4,673
7,749	4,678
7,766	4,683
7,783	4,687
7,799	4,692
7,816	4,696
7,832	4,7
7,848	4,704
7,864	4,708
7,879	4,711
7,895	4,715
7,91	4,718
7,925	4,721
7,94	4,724
7,954	4,727
7,968	4,73
7,983	4,732
7,997	4,734
8,01	4,736
8,024	4,738
8,037	4,74
8,05	4,742
8,063	4,744
8,076	4,745
8,088	4,746
8,1	4,747
8,113	4,748
8,124	4,749
8,136	4,749
8,147	4,75
8,159	4,75
8,17	4,75
8,18	4,75
8,191	4,75
8,201	4,749
8,212	4,749
8,221	4,748
8,231	4,747
8,241	4,746
8,25	4,745
8,259	4,744
8,268	4,742
8,277	4,74
8,285	4,738
8,293	4,736
8,301	4,734
8,309	4,732
8,317	4,73
8,324	4,727
8,331	4,724
8,338	4,721
8,345	4,718
8,351	4,715
8,358	4,711
8,364	4,708
8,369	4,704
8,375	4,7
8,38	4,696
8,386	4,692
8,391	4,687
8,395	4,683
8,4	4,678
8,404	4,673
8,408	4,668
8,412	4,663
8,416	4,658
8,419	4,652
8,422	4,646
8,425	4,64
8,428	4,634
8,43	4,628
8,433	4,622
8,435	4,616
8,436	4,609
8,438	4,602
8,439	4,595
